rank,market,window_h,start_utc,end_utc,return_pct,price_start,price_end,category,first_detection,detection_price,detection_extension_pct,detection_state,source_sha,first_buy,buy_price,buy_extension_pct,delay_detection_buy_minutes,last_buy_before_window,reject_reasons,peak_utc,peak_gain_pct,first_observed_plus5,first_observed_plus10,first_observed_plus20
11,TIA-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,13.9364,0.37664,0.42913,BUY_OBSERVED_LATER_OR_PRICE_UNKNOWN,2026-09-22T01:35:33.492226+00:00,0.38217,1.4682,BUILDING_ACCELERATION,3237ae3a696a8f28c0173617906646ac2ed9357a,2026-09-22T19:34:34.922965+00:00,0.41293,9.6352,1079.02,,{},2026-09-22T20:00:00+00:00,18.4606,2026-09-22T13:19:12.433902+00:00,2026-09-22T19:32:37.780466+00:00,
12,MERL-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,13.7465,0.023686,0.026942,BUY_OBSERVED_LATER_OR_PRICE_UNKNOWN,2026-09-22T06:35:04.935877+00:00,0.02529,6.7719,BUILDING_ACCELERATION,0b1aa2be79307d0626411b67172fd3c5cc8fa11f,2026-09-22T16:47:58.557786+00:00,0.026928,13.6874,612.89,,{},2026-09-22T17:20:00+00:00,18.3864,2026-09-22T06:30:30.746742+00:00,2026-09-22T16:40:41.125171+00:00,
13,GOAT-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,13.1462,0.016035,0.018143,BUY_OBSERVED_LATER_OR_PRICE_UNKNOWN,2026-09-22T04:06:58.573049+00:00,0.016383,2.1703,BUILDING_ACCELERATION,82a703d3dc4b53952b7dd7fa2fd20872a16c0462,2026-09-22T13:18:59.284728+00:00,0.017404,8.5376,552.01,,"{""PRIOR_BUY_THESIS_STILL_ACTIVE"": 1}",2026-09-22T19:00:00+00:00,19.1269,2026-09-22T13:19:12.433902+00:00,2026-09-22T18:24:01.276027+00:00,
14,CARV-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,12.6821,0.035223,0.03969,BUY_OBSERVED_LATER_OR_PRICE_UNKNOWN,2026-09-22T01:35:33.492226+00:00,0.036657,4.0712,CONFIRMED_ACCELERATION,3237ae3a696a8f28c0173617906646ac2ed9357a,2026-09-22T06:36:21.419479+00:00,0.040426,14.7716,300.8,,"{""INSUFFICIENT_EXECUTION_LIQUIDITY"": 1, ""STRUCTURAL_STOP_TOO_WIDE"": 1, ""PRIOR_BUY_THESIS_STILL_ACTIVE"": 1}",2026-09-22T03:40:00+00:00,33.5803,2026-09-22T01:50:56.011355+00:00,2026-09-22T02:41:12.532573+00:00,
15,FLUX-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,12.2041,0.05322,0.059715,DETECTED_REJECTED_NO_BUY_OBSERVED,2026-09-22T01:01:17.681314+00:00,0.055057,3.4517,CONFIRMED_ACCELERATION,11321484f43b9b68b6c9be3a17dae45922343c2f,,,,,,"{""INSUFFICIENT_EXECUTION_LIQUIDITY"": 3}",2026-09-22T17:30:00+00:00,16.5915,2026-09-22T08:53:17.839555+00:00,2026-09-22T16:55:44.292292+00:00,
16,SENT-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,11.8992,0.016312,0.018253,DETECTED_REJECTED_NO_BUY_OBSERVED,2026-09-22T19:16:20.064100+00:00,0.017806,9.1589,CONFIRMED_ACCELERATION,2b97417e37c2dde45e5cf935239d5f7434033565,,,,,,"{""INSUFFICIENT_EXECUTION_LIQUIDITY"": 3}",2026-09-22T21:00:00+00:00,13.2724,2026-09-22T06:24:16.506343+00:00,2026-09-22T19:25:09.729498+00:00,
17,MET-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,11.5856,0.24539,0.27382,DETECTED_REJECTED_NO_BUY_OBSERVED,2026-09-22T08:41:15.234331+00:00,0.242,-1.3815,BUILDING_ACCELERATION,d248691dbc34610cf7cd6365314215f996b7ecce,,,,,,"{""STRUCTURAL_RANGE_TOO_NARROW"": 1, ""INSUFFICIENT_EXECUTION_LIQUIDITY"": 1}",2026-09-22T20:40:00+00:00,11.7201,2026-09-22T12:31:37.345638+00:00,2026-09-22T17:31:33.407208+00:00,
18,DGB-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,11.4541,0.0037576,0.004188,DETECTED_REJECTED_NO_BUY_OBSERVED,2026-09-21T22:06:25.079432+00:00,0.00396,5.3864,CONFIRMED_ACCELERATION,9f0583f03701dd60487c09f56510631b987655e8,,,,,,"{""INSUFFICIENT_EXECUTION_LIQUIDITY"": 2}",2026-09-22T21:30:00+00:00,11.4541,2026-09-21T22:10:01.323581+00:00,2026-09-22T13:41:59.195532+00:00,
19,TREAD-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,11.2906,0.43461,0.48368,BUY_OBSERVED_LATER_OR_PRICE_UNKNOWN,2026-09-22T06:35:04.935877+00:00,0.38879,-10.5428,BUILDING_ACCELERATION,0b1aa2be79307d0626411b67172fd3c5cc8fa11f,2026-09-22T18:47:42.106827+00:00,0.47,8.1429,732.62,2026-09-21T10:04:59.447374+00:00,"{""STRUCTURAL_STOP_TOO_WIDE"": 6, ""STRUCTURAL_RANGE_TOO_NARROW"": 1}",2026-09-22T20:55:00+00:00,19.0976,2026-09-22T08:30:28.392736+00:00,2026-09-22T11:12:17.141603+00:00,
20,ARX-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,10.9491,0.17627,0.19557,DETECTED_REJECTED_NO_BUY_OBSERVED,2026-09-22T01:19:16.222557+00:00,0.17798,0.9701,CONFIRMED_ACCELERATION,72d8f5ff919df37a5cea5cbd82be14686efabc7d,,,,,,"{""STRUCTURAL_RANGE_TOO_NARROW"": 2}",2026-09-22T21:00:00+00:00,11.159,2026-09-22T06:24:16.506343+00:00,2026-09-22T14:19:28.756087+00:00,
21,GRT-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,10.842,0.02019,0.022379,DETECTED_NO_BUY_REASON_UNRESOLVED,2026-09-22T19:33:18.148740+00:00,0.021677,7.365,BUILDING_ACCELERATION,d9463d04bab42b6a199281da61a85db16fcd9f4b,,,,,,{},2026-09-22T21:30:00+00:00,10.842,2026-09-22T14:19:28.756087+00:00,2026-09-22T21:40:16.069215+00:00,
22,QNT-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,10.6792,59.199,65.521,DETECTED_NO_BUY_REASON_UNRESOLVED,2026-09-22T12:30:54.974008+00:00,62.723,5.9528,BUILDING_ACCELERATION,9c5df11af4c779a1622965bd20d87281f514e86d,,,,,,{},2026-09-22T21:35:00+00:00,10.735,2026-09-22T11:59:38.632796+00:00,2026-09-22T21:40:16.069215+00:00,
23,S-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,10.3167,0.034294,0.037832,BUY_OBSERVED_LATER_OR_PRICE_UNKNOWN,2026-09-22T07:29:08.012717+00:00,0.036197,5.5491,CONFIRMED_ACCELERATION,5b8e30da33dcf74e38e6b7c96f2d76e1a79a09cd,2026-09-22T07:47:32.579901+00:00,0.037651,9.7889,18.41,,"{""STRUCTURAL_RANGE_TOO_NARROW"": 1, ""PRIOR_BUY_THESIS_STILL_ACTIVE"": 1}",2026-09-22T10:40:00+00:00,22.345,2026-09-22T07:41:30.329907+00:00,2026-09-22T07:56:41.727676+00:00,2026-09-22T10:39:33.257361+00:00
24,SXT-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,10.1501,0.007793,0.008584,DETECTED_REJECTED_NO_BUY_OBSERVED,2026-09-22T17:19:23.838574+00:00,0.008144,4.504,CONFIRMED_ACCELERATION,6d64b3cb93173e9a329a6fe3f441b8b2a5bbfd1a,,,,,,"{""STRUCTURAL_RANGE_TOO_NARROW"": 1, ""STRUCTURAL_STOP_TOO_WIDE"": 1, ""SPREAD_TOO_WIDE"": 1}",2026-09-22T18:25:00+00:00,19.9538,2026-09-22T17:31:33.407208+00:00,2026-09-22T17:45:58.502570+00:00,
25,DATAIP-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,10.0227,0.1766,0.1943,DETECTED_REJECTED_NO_BUY_OBSERVED,2026-09-22T00:25:42.177756+00:00,0.1983,12.2877,CONFIRMED_ACCELERATION,f93c92a8f3e016eefece9e6838c1fe7ca2b600fc,,,,,,"{""INSUFFICIENT_EXECUTION_LIQUIDITY"": 1}",2026-09-22T00:30:00+00:00,17.5538,2026-09-22T00:27:47.203138+00:00,2026-09-22T00:27:47.203138+00:00,
26,ZBT-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,9.3886,0.072673,0.079496,NO_DETECTION_TRACE_WITHIN_AVAILABLE_PRODUCTION_COVERAGE,,,,,,,,,,,{},2026-09-22T20:25:00+00:00,10.7963,2026-09-22T13:19:12.433902+00:00,2026-09-22T20:20:26.082950+00:00,
27,MLN-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,9.348,1.2163,1.33,DETECTED_REJECTED_NO_BUY_OBSERVED,2026-09-21T22:06:25.079432+00:00,1.2376,1.7512,CONFIRMED_ACCELERATION,9f0583f03701dd60487c09f56510631b987655e8,,,,,,"{""INSUFFICIENT_EXECUTION_LIQUIDITY"": 7, ""STRUCTURAL_STOP_TOO_WIDE"": 1}",2026-09-22T16:50:00+00:00,36.4795,2026-09-22T07:24:00.231677+00:00,2026-09-22T15:47:40.432696+00:00,2026-09-22T16:55:44.292292+00:00
28,CYBER-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,8.8709,0.28464,0.30989,DETECTED_REJECTED_NO_BUY_OBSERVED,2026-09-22T00:25:42.177756+00:00,0.29148,2.403,BUILDING_ACCELERATION,f93c92a8f3e016eefece9e6838c1fe7ca2b600fc,,,,,,"{""INSUFFICIENT_EXECUTION_LIQUIDITY"": 1}",2026-09-22T21:00:00+00:00,13.3291,2026-09-22T17:14:52.870542+00:00,,
29,INIT-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,8.8494,0.07127,0.077577,DETECTED_NO_BUY_REASON_UNRESOLVED,2026-09-22T04:06:58.573049+00:00,0.072906,2.2955,BUILDING_ACCELERATION,82a703d3dc4b53952b7dd7fa2fd20872a16c0462,,,,,,{},2026-09-22T18:30:00+00:00,9.1525,2026-09-22T09:28:05.823984+00:00,,
30,BONK-EUR,24,2026-09-21T21:49:49.816736+00:00,2026-09-22T21:40:16.069215+00:00,8.8117,2.9177e-06,3.1748e-06,DETECTED_REJECTED_NO_BUY_OBSERVED,2026-09-22T04:57:51.794190+00:00,3.084e-06,5.6997,BUILDING_ACCELERATION,ee2cdd33acae6eea3570371e7f31d879f2a6470b,,,,,2026-09-21T09:34:30.769419+00:00,"{""STRUCTURAL_RANGE_TOO_NARROW"": 2, ""PRIOR_BUY_THESIS_STILL_ACTIVE"": 1}",2026-09-22T06:20:00+00:00,10.5117,2026-09-22T04:41:27.499497+00:00,2026-09-22T06:24:16.506343+00:00,
