market,decision_utc,h,target_r,entry,stop,tp,stake,score,post_range_gate,mature,coverage,bars,expected_bars,result,gross_pct,net_pct,gross_r,net_r,mfe_pct,mae_pct,minutes_to_peak,exit_utc,ambiguous_stop_tp,gap_below_stop,captured_positive_upside,net_pnl_guide_eur,fee_plus_slippage_each_side
PHA-EUR,2026-09-21T07:23:27.113631+00:00,12,1.6,0.036527,0.033484,0.041395799999999996,,7.686,False,True,1.0,143,143,TP,13.3293,12.5388,1.6,1.3978,58.1871,-2.8718,211.55,2026-09-21T09:20:00+00:00,False,False,0.2291,0.0,0.0035
PHA-EUR,2026-09-21T07:23:27.113631+00:00,12,2,0.036527,0.033484,0.042612,,7.686,False,True,1.0,143,143,TP,16.6589,15.8451,1.9997,1.7664,58.1871,-2.8718,211.55,2026-09-21T09:25:00+00:00,False,False,0.2863,0.0,0.0035
PHA-EUR,2026-09-21T07:23:27.113631+00:00,24,1.4,0.036527,0.033484,0.040787199999999996,,7.686,False,True,1.0,287,287,TP,11.6632,10.8842,1.4,1.2134,58.1871,-2.8718,211.55,2026-09-21T09:20:00+00:00,False,False,0.2004,0.0,0.0035
PHA-EUR,2026-09-21T07:23:27.113631+00:00,24,1.5,0.036527,0.033484,0.04109149999999999,,7.686,False,True,1.0,287,287,TP,12.4962,11.7115,1.5,1.3056,58.1871,-2.8718,211.55,2026-09-21T09:20:00+00:00,False,False,0.2148,0.0,0.0035
PHA-EUR,2026-09-21T07:23:27.113631+00:00,24,1.6,0.036527,0.033484,0.041395799999999996,,7.686,False,True,1.0,287,287,TP,13.3293,12.5388,1.6,1.3978,58.1871,-2.8718,211.55,2026-09-21T09:20:00+00:00,False,False,0.2291,0.0,0.0035
PHA-EUR,2026-09-21T07:23:27.113631+00:00,24,2,0.036527,0.033484,0.042612,,7.686,False,True,1.0,287,287,TP,16.6589,15.8451,1.9997,1.7664,58.1871,-2.8718,211.55,2026-09-21T09:25:00+00:00,False,False,0.2863,0.0,0.0035
DRIFT-EUR,2026-09-21T09:15:55.788860+00:00,4,1.4,0.015558,0.014316,0.0172968,,7.835,True,True,1.0,47,47,HORIZON_MARK,0.1157,-0.5827,0.0145,-0.0676,4.8528,-2.3396,64.07,2026-09-21T13:15:00+00:00,False,False,0.0238,-0.0,0.0035
DRIFT-EUR,2026-09-21T09:15:55.788860+00:00,4,1.5,0.015558,0.014316,0.017421,,7.835,True,True,1.0,47,47,HORIZON_MARK,0.1157,-0.5827,0.0145,-0.0676,4.8528,-2.3396,64.07,2026-09-21T13:15:00+00:00,False,False,0.0238,-0.0,0.0035
DRIFT-EUR,2026-09-21T09:15:55.788860+00:00,4,1.6,0.015558,0.014316,0.0175452,,7.835,True,True,1.0,47,47,HORIZON_MARK,0.1157,-0.5827,0.0145,-0.0676,4.8528,-2.3396,64.07,2026-09-21T13:15:00+00:00,False,False,0.0238,-0.0,0.0035
DRIFT-EUR,2026-09-21T09:15:55.788860+00:00,4,2,0.015558,0.014316,0.018042,,7.835,True,True,1.0,47,47,HORIZON_MARK,0.1157,-0.5827,0.0145,-0.0676,4.8528,-2.3396,64.07,2026-09-21T13:15:00+00:00,False,False,0.0238,-0.0,0.0035
DRIFT-EUR,2026-09-21T09:15:55.788860+00:00,12,1.4,0.015558,0.014316,0.0172968,,7.835,True,True,1.0,143,143,HORIZON_MARK,-5.2256,-5.8867,-0.6546,-0.6825,4.8528,-6.2797,64.07,2026-09-21T21:15:00+00:00,False,False,0.0,-0.0,0.0035
DRIFT-EUR,2026-09-21T09:15:55.788860+00:00,12,1.5,0.015558,0.014316,0.017421,,7.835,True,True,1.0,143,143,HORIZON_MARK,-5.2256,-5.8867,-0.6546,-0.6825,4.8528,-6.2797,64.07,2026-09-21T21:15:00+00:00,False,False,0.0,-0.0,0.0035
DRIFT-EUR,2026-09-21T09:15:55.788860+00:00,12,1.6,0.015558,0.014316,0.0175452,,7.835,True,True,1.0,143,143,HORIZON_MARK,-5.2256,-5.8867,-0.6546,-0.6825,4.8528,-6.2797,64.07,2026-09-21T21:15:00+00:00,False,False,0.0,-0.0,0.0035
DRIFT-EUR,2026-09-21T09:15:55.788860+00:00,12,2,0.015558,0.014316,0.018042,,7.835,True,True,1.0,143,143,HORIZON_MARK,-5.2256,-5.8867,-0.6546,-0.6825,4.8528,-6.2797,64.07,2026-09-21T21:15:00+00:00,False,False,0.0,-0.0,0.0035
DRIFT-EUR,2026-09-21T09:15:55.788860+00:00,24,1.4,0.015558,0.014316,0.0172968,,7.835,True,True,1.0,287,287,HORIZON_MARK,-0.5721,-1.2656,-0.0717,-0.1467,4.8528,-6.2797,64.07,2026-09-22T09:15:00+00:00,False,False,0.0,-0.0,0.0035
DRIFT-EUR,2026-09-21T09:15:55.788860+00:00,24,1.5,0.015558,0.014316,0.017421,,7.835,True,True,1.0,287,287,HORIZON_MARK,-0.5721,-1.2656,-0.0717,-0.1467,4.8528,-6.2797,64.07,2026-09-22T09:15:00+00:00,False,False,0.0,-0.0,0.0035
DRIFT-EUR,2026-09-21T09:15:55.788860+00:00,24,1.6,0.015558,0.014316,0.0175452,,7.835,True,True,1.0,287,287,HORIZON_MARK,-0.5721,-1.2656,-0.0717,-0.1467,4.8528,-6.2797,64.07,2026-09-22T09:15:00+00:00,False,False,0.0,-0.0,0.0035
DRIFT-EUR,2026-09-21T09:15:55.788860+00:00,24,2,0.015558,0.014316,0.018042,,7.835,True,True,1.0,287,287,HORIZON_MARK,-0.5721,-1.2656,-0.0717,-0.1467,4.8528,-6.2797,64.07,2026-09-22T09:15:00+00:00,False,False,0.0,-0.0,0.0035
BONK-EUR,2026-09-21T09:34:30.769419+00:00,4,1.4,2.8797e-06,2.6269e-06,3.23362e-06,127.01145210210001,9.946,True,True,1.0,47,47,HORIZON_MARK,-0.6702,-1.3631,-0.0763,-0.1448,-0.2674,-3.0871,0.49,2026-09-21T13:30:00+00:00,False,False,,-1.7313,0.0035
BONK-EUR,2026-09-21T09:34:30.769419+00:00,4,1.5,2.8797e-06,2.6269e-06,3.2589000000000003e-06,127.01145210210001,9.946,True,True,1.0,47,47,HORIZON_MARK,-0.6702,-1.3631,-0.0763,-0.1448,-0.2674,-3.0871,0.49,2026-09-21T13:30:00+00:00,False,False,,-1.7313,0.0035
BONK-EUR,2026-09-21T09:34:30.769419+00:00,4,1.6,2.8797e-06,2.6269e-06,3.28418e-06,127.01145210210001,9.946,True,True,1.0,47,47,HORIZON_MARK,-0.6702,-1.3631,-0.0763,-0.1448,-0.2674,-3.0871,0.49,2026-09-21T13:30:00+00:00,False,False,,-1.7313,0.0035
BONK-EUR,2026-09-21T09:34:30.769419+00:00,4,2,2.8797e-06,2.6269e-06,3.3853e-06,127.01145210210001,9.946,True,True,1.0,47,47,HORIZON_MARK,-0.6702,-1.3631,-0.0763,-0.1448,-0.2674,-3.0871,0.49,2026-09-21T13:30:00+00:00,False,False,,-1.7313,0.0035
BONK-EUR,2026-09-21T09:34:30.769419+00:00,12,1.4,2.8797e-06,2.6269e-06,3.23362e-06,127.01145210210001,9.946,True,True,1.0,143,143,HORIZON_MARK,1.6807,0.9714,0.1915,0.1032,3.8754,-3.0871,375.49,2026-09-21T21:30:00+00:00,False,False,0.4337,1.2339,0.0035
BONK-EUR,2026-09-21T09:34:30.769419+00:00,12,1.5,2.8797e-06,2.6269e-06,3.2589000000000003e-06,127.01145210210001,9.946,True,True,1.0,143,143,HORIZON_MARK,1.6807,0.9714,0.1915,0.1032,3.8754,-3.0871,375.49,2026-09-21T21:30:00+00:00,False,False,0.4337,1.2339,0.0035
BONK-EUR,2026-09-21T09:34:30.769419+00:00,12,1.6,2.8797e-06,2.6269e-06,3.28418e-06,127.01145210210001,9.946,True,True,1.0,143,143,HORIZON_MARK,1.6807,0.9714,0.1915,0.1032,3.8754,-3.0871,375.49,2026-09-21T21:30:00+00:00,False,False,0.4337,1.2339,0.0035
BONK-EUR,2026-09-21T09:34:30.769419+00:00,12,2,2.8797e-06,2.6269e-06,3.3853e-06,127.01145210210001,9.946,True,True,1.0,143,143,HORIZON_MARK,1.6807,0.9714,0.1915,0.1032,3.8754,-3.0871,375.49,2026-09-21T21:30:00+00:00,False,False,0.4337,1.2339,0.0035
