market,decision,h,coverage,old_result,chronological_result,old_close_pct,chronological_close_pct,old_bars,archive_bars
CELR-EUR,2026-09-21T13:56:20.167155+00:00,4,1.0,STOP,STOP,0.8605,-9.2973,48,47
CELR-EUR,2026-09-21T13:56:20.167155+00:00,12,1.0,STOP,STOP,0.8605,-10.9135,119,143
CELR-EUR,2026-09-21T13:56:20.167155+00:00,24,1.0,STOP,STOP,0.8605,-11.6693,225,287
ACE-EUR,2026-09-21T15:25:07.241948+00:00,4,1.0,OPEN,HORIZON_MARK,-0.5508,0.3279,35,47
ACE-EUR,2026-09-21T15:25:07.241948+00:00,12,1.0,OPEN,HORIZON_MARK,-0.5508,-0.2557,71,143
ACE-EUR,2026-09-21T15:25:07.241948+00:00,24,1.0,STOP,STOP,-0.5508,-2.8984,167,287
ALLO-EUR,2026-09-21T16:35:23.502203+00:00,4,1.0,OPEN,HORIZON_MARK,2.8992,-4.9285,35,47
ALLO-EUR,2026-09-21T16:35:23.502203+00:00,12,1.0,STOP,STOP,2.8992,-5.054,69,143
ALLO-EUR,2026-09-21T16:35:23.502203+00:00,24,1.0,STOP,STOP,2.8992,-6.3554,117,287
GRASS-EUR,2026-09-21T20:18:05.747955+00:00,4,1.0,OPEN,HORIZON_MARK,1.9958,4.7669,48,47
GRASS-EUR,2026-09-21T20:18:05.747955+00:00,12,1.0,TP1,TP,1.9958,15.6687,143,143
GRASS-EUR,2026-09-21T20:18:05.747955+00:00,24,1.0,TP1,TP,1.9958,8.7961,286,287
TAO-EUR,2026-09-21T20:20:06.238863+00:00,4,1.0,OPEN,HORIZON_MARK,1.471,3.4163,48,47
TAO-EUR,2026-09-21T20:20:06.238863+00:00,12,1.0,OPEN,HORIZON_MARK,1.0449,2.0935,144,143
TAO-EUR,2026-09-21T20:20:06.238863+00:00,24,1.0,OPEN,HORIZON_MARK,1.0449,0.0222,288,287
COTI-EUR,2026-09-21T21:21:27.090819+00:00,4,1.0,STOP,STOP,-0.4458,-4.5988,46,47
COTI-EUR,2026-09-21T21:21:27.090819+00:00,12,1.0,STOP,STOP,-0.4458,-3.2244,139,143
COTI-EUR,2026-09-21T21:21:27.090819+00:00,24,1.0,STOP,STOP,-0.4458,0.2897,267,287
ZETA-EUR,2026-09-22T00:27:00.794011+00:00,4,1.0,TP1,TP,0.0666,0.8389,42,47
ZETA-EUR,2026-09-22T00:27:00.794011+00:00,12,1.0,STOP,TP,0.0666,-7.3286,120,143
EPIC-EUR,2026-09-22T02:56:58.278165+00:00,4,1.0,OPEN,HORIZON_MARK,-0.2364,-0.1711,44,47
EPIC-EUR,2026-09-22T02:56:58.278165+00:00,12,1.0,STOP,STOP,-0.2364,-17.9865,138,143
NIL-EUR,2026-09-22T06:33:18.279374+00:00,4,1.0,OPEN,HORIZON_MARK,0.3749,9.4461,47,47
NIL-EUR,2026-09-22T06:33:18.279374+00:00,12,1.0,TP1,TP,0.3749,10.1635,143,143
CARV-EUR,2026-09-22T06:36:21.419479+00:00,4,1.0,OPEN,HORIZON_MARK,-1.9987,-1.1527,48,47
CARV-EUR,2026-09-22T06:36:21.419479+00:00,12,1.0,OPEN,HORIZON_MARK,-1.9987,-4.7519,116,143
FORM-EUR,2026-09-22T07:30:27.241703+00:00,4,1.0,STOP,STOP,-1.2956,1.7878,45,47
FORM-EUR,2026-09-22T07:30:27.241703+00:00,12,1.0,STOP,STOP,-1.2956,-2.2257,118,143
S-EUR,2026-09-22T07:47:32.579901+00:00,4,1.0,OPEN,HORIZON_MARK,1.899,2.8021,48,47
S-EUR,2026-09-22T07:47:32.579901+00:00,12,1.0,OPEN,HORIZON_MARK,1.899,1.3439,132,143
KERNEL-EUR,2026-09-22T07:47:32.579901+00:00,4,1.0,OPEN,HORIZON_MARK,0.444,-3.5008,45,47
KERNEL-EUR,2026-09-22T07:47:32.579901+00:00,12,1.0,STOP,STOP,0.444,-11.5995,119,143
USELESS-EUR,2026-09-22T08:23:26.846286+00:00,4,1.0,OPEN,HORIZON_MARK,-1.4899,3.4616,48,47
USELESS-EUR,2026-09-22T08:23:26.846286+00:00,12,1.0,OPEN,HORIZON_MARK,-1.4899,11.6031,144,143
AVA-EUR,2026-09-22T08:42:31.691388+00:00,4,1.0,OPEN,HORIZON_MARK,-1.8417,-1.5833,40,47
AVA-EUR,2026-09-22T08:42:31.691388+00:00,12,1.0,OPEN,HORIZON_MARK,-1.8417,-5.6083,106,143
